ALGERIA,ARGENTINA,AUSTRALIA,AUSTRIA,BELGIUM,BULGARIA,CANADA,CHILE,DENMARK,FINLAND,FRANCE (INCLUDING MONACO),GREECE,HUNGARY,INDIA,INDONESIA,ITALY (INCLUDING SAN MARINO),MEXICO,NETHERLANDS,NEW ZEALAND,NORWAY,PERU,POLAND,PORTUGAL,ROMANIA,SOUTH AFRICA,SPAIN,SWEDEN,SWITZERLAND,TAIWAN,TURKEY,UNITED KINGDOM,UNITED STATES OF AMERICA,BRAZIL,CHINA (MAINLAND),ISLAMIC REPUBLIC OF IRAN,VENEZUELA,PHILIPPINES,TRINIDAD AND TOBAGO,IRELAND,EGYPT,NIGERIA,TUNISIA,ECUADOR,DEMOCRATIC REPUBLIC OF THE CONGO (FORMERLY ZAIRE),COLOMBIA,IRAQ,MOZAMBIQUE,BARBADOS,MOROCCO,MYANMAR (FORMERLY BURMA),PLURINATIONAL STATE OF BOLIVIA,BRUNEI (DARUSSALAM),ISRAEL,LEBANON,SYRIAN ARAB REPUBLIC,THAILAND,URUGUAY,ALBANIA,BAHRAIN,MADAGASCAR,SAUDI ARABIA,ICELAND,HONG KONG SPECIAL ADMINSTRATIVE REGION OF CHINA,CUBA,ETHIOPIA,GUATEMALA,NICARAGUA,DEMOCRATIC PEOPLE S REPUBLIC OF KOREA,LUXEMBOURG,REPUBLIC OF KOREA,KUWAIT,DOMINICAN REPUBLIC,PANAMA,AFGHANISTAN,QATAR,ANGOLA,BAHAMAS,BELIZE,BERMUDA,CAPE VERDE,COSTA RICA,CYPRUS,DJIBOUTI,EL SALVADOR,EQUATORIAL GUINEA,FAEROE ISLANDS,FIJI,FRENCH GUIANA,GAMBIA,GHANA,GIBRALTAR,GREENLAND,GRENADA,GUADELOUPE,GUINEA BISSAU,GUYANA,HAITI,HONDURAS,JAMAICA,JAPAN,JORDAN,KENYA,LIBERIA,LIBYAN ARAB JAMAHIRIYAH,MALTA,MARTINIQUE,MAURITIUS,MONGOLIA,NEPAL,NEW CALEDONIA,PAPUA NEW GUINEA,PARAGUAY,REPUBLIC OF CAMEROON,REUNION,SAINT LUCIA,SAMOA,SIERRA LEONE,SOMALIA,SRI LANKA,ST. PIERRE & MIQUELON,ST. VINCENT & THE GRENADINES,SURINAME,TOGO,TONGA,UGANDA,year
1033,8168,14941,5704,20801,2047,42070,2307,6002,1787,55215,1127,5020,18178,2683,11313,8328,13998,2339,2302,1240,30604,1534,5300,16659,9019,7823,2794,1033,2590,136583,692124,5367,21465,-1473,10447,984,642,2655,2794,616,333,202,404,2047,450,246,20,699,219,135,113,456,413,113,261,670,81,377,83,1403,202,360,1530,24,169,52,213,2025,596,105,95,141,23,96,51,15,5,12,28,78,73,3,73,3,11,33,2,4,174,32,27,2,17,2,71,31,82,74,27991,47,248,13,39,67,15,55,78,7,60,15,17,38,7,1,1,43,13,444,4,1,58,7,2,29,1950
1128,9544,16112,6351,24418,2229,44402,2725,5984,2178,62435,1249,6056,19029,2563,13331,9524,15003,2230,2587,1303,33336,1473,6143,17781,9041,9128,3358,1340,2780,148700,712983,5913,27763,1887,12932,970,686,2868,2883,460,376,192,477,2229,663,254,30,799,250,126,82,797,398,104,298,716,110,321,67,-95,176,425,1766,17,174,55,272,2459,798,32,98,151,25,106,68,18,7,16,21,85,77,7,88,3,11,36,3,4,239,28,27,3,18,1,78,36,95,142,33702,44,380,12,46,70,22,38,80,8,77,17,13,50,8,3,1,26,13,422,6,1,64,7,2,38,1951
1062,9853,16432,6025,22784,2574,43510,2895,6251,2363,61960,1310,7427,20058,3472,13823,10158,14934,2544,2644,1416,34949,1461,7270,19348,10266,9424,3065,1745,2859,144221,694618,6807,34995,1117,13850,1106,763,2626,2974,595,394,244,569,2357,535,293,24,973,309,140,88,999,321,130,349,861,102,351,84,-47,212,419,1715,27,176,75,243,2566,945,-119,162,196,25,53,85,21,7,29,10,106,86,7,106,3,15,43,3,3,237,20,29,3,18,3,92,40,98,154,35599,53,434,15,45,66,25,48,82,8,129,23,28,77,9,2,2,49,13,529,9,3,73,12,2,39,1952
1092,9591,16223,5928,22487,2890,43838,2840,6320,2066,58566,1334,8671,20436,3570,15291,10020,15084,2334,2671,1505,37993,1619,8361,19379,10629,8886,2822,1767,3539,147404,711175,6885,36600,1045,13062,1101,801,2603,2943,665,376,224,625,2938,690,295,30,1139,356,147,94,1103,341,140,449,957,113,272,69,130,250,472,1690,50,186,78,474,2362,1281,-14,169,195,29,100,75,22,8,25,5,118,100,8,114,3,23,46,3,3,278,18,33,3,18,2,123,43,91,168,39794,58,413,16,68,63,25,51,83,10,109,26,33,55,6,3,2,46,13,564,8,2,85,8,2,57,1953
1134,10032,18517,6690,23404,3110,44482,3025,6982,2499,61788,1388,9283,21490,4025,17733,9901,15938,2475,2698,1702,40279,1581,9146,20171,10846,9417,3439,1771,3667,150849,677689,8102,44011,285,13975,1455,774,2482,3185,702,384,263,769,2627,832,312,31,979,399,215,98,1181,357,158,560,1020,137,285,79,338,213,491,1624,74,203,86,1307,2397,1408,383,171,173,29,166,95,23,8,23,6,111,121,9,128,8,21,43,4,4,274,15,28,3,20,2,129,59,103,216,38913,69,464,28,82,84,25,51,133,11,142,26,50,63,10,2,3,34,13,487,9,2,92,9,2,60,1954
1258,10799,19291,7936,25119,3301,46258,3166,7388,2983,65236,1626,9746,23319,5689,20008,10827,16646,2564,3116,1672,42090,1764,10041,22638,10996,10673,3718,1965,3718,157381,742828,9289,52099,4316,16309,1806,743,3198,2906,736,436,327,925,3261,1119,375,35,971,388,254,82,1315,443,449,648,1070,181,383,83,577,249,513,1850,62,250,107,2005,2698,1759,504,250,194,42,114,113,35,8,30,6,95,123,10,126,10,27,47,4,4,324,16,57,3,22,3,141,73,119,269,38733,104,542,16,117,93,31,35,161,12,191,35,52,64,11,3,3,50,18,454,10,2,85,11,2,72,1955
1364,12092,19934,7700,26419,3540,51807,3230,7199,3322,73293,1717,9052,24142,5953,22795,11502,17763,2641,3263,1723,45424,1956,11132,23819,11559,11841,4658,2098,3920,156662,778631,9995,59047,6225,17744,1707,786,2982,2715,822,426,354,867,3440,1746,424,35,961,452,302,81,1309,515,547,715,1098,229,288,87,445,259,579,1595,66,267,103,2447,2830,2062,284,269,173,50,138,137,38,8,37,8,132,184,8,144,10,31,53,4,5,294,14,39,3,25,3,150,72,124,344,43856,123,606,13,90,81,32,60,188,13,318,35,54,65,13,3,3,49,19,387,9,2,93,11,2,72,1956
1512,12996,20340,7966,26339,3928,49900,3201,6797,3342,75750,1861,10494,27084,6117,23779,13452,17580,2813,3101,1822,48772,2125,12538,24471,13710,10604,4831,2234,4360,155676,772001,9822,69964,5950,18993,1837,700,2653,3254,869,430,309,909,3727,1630,483,37,834,573,274,80,1412,564,541,798,1210,411,206,86,573,263,645,3785,88,269,114,3082,2958,2242,600,282,208,80,85,169,48,8,38,5,126,223,12,163,9,26,45,4,6,353,14,44,3,30,3,146,69,157,438,51345,135,623,23,85,85,44,60,208,15,291,40,58,70,16,3,4,106,20,633,11,2,102,13,2,76,1957
1424,12064,21184,7668,23936,4266,49721,3399,7313,2896,72655,2034,10712,28309,6061,23922,14743,18203,2779,3054,2013,48241,2063,13593,26273,15255,11485,4446,2613,4378,151729,748069,10663,143390,6886,14864,2064,949,2445,3736,1016,395,361,799,3816,1820,496,41,892,658,250,87,1512,541,592,824,1086,328,352,102,917,298,648,4912,87,308,164,4268,2753,2459,1007,291,253,90,46,162,49,11,40,4,122,209,13,163,13,32,48,5,7,372,15,62,4,30,3,125,75,160,370,49460,143,570,44,96,90,39,57,310,16,202,40,66,76,17,3,3,57,23,532,11,3,87,13,2,80,1958
1545,13362,22849,7620,24107,5357,50356,3468,7107,3701,71492,2218,11438,29950,6513,25694,15911,18320,2817,3224,1970,51769,2179,13825,25787,14220,11572,4533,3001,4694,149154,770642,10653,196823,6979,17783,1973,844,3361,3470,973,434,353,737,4392,1997,490,41,920,758,259,89,1530,669,608,907,1198,394,358,102,506,338,738,4276,92,338,131,5424,2844,3063,1037,304,271,105,50,169,71,11,37,5,105,227,10,165,13,27,54,6,5,361,13,64,4,39,4,151,69,160,502,52590,179,603,39,118,106,45,61,367,18,161,44,83,76,19,3,4,64,24,561,9,3,100,15,2,113,1959
