Country Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Aruba,23309.0205200435,25020.5071663511,25661.3190049092,26529.233954737,27714.716606423,27707.433893914,27562.4598279993,29222.8945990989,29509.8770233795,29718.1694063365,32031.5554262481,31062.3492101749,29847.9281238166,30355.7321560674,33053.2466590569,34050.4715291833,35167.1660064047,36621.034699298,37249.4501479283,33552.8898886094,32624.209094705,34326.1448226739,33577.9405335517,34860.6595573918,34918.457814183,33894.2149382263,33339.6279429783,33966.4830001855,
Afghanistan,,,,,,,,,,,,,877.014423471338,927.857547925085,925.44161616896,1023.05162962569,1077.7619066135,1228.70413479595,1272.57320418132,1519.6925481355,1710.57564540856,1699.48799733991,1914.77435127371,2015.51496204541,2069.42464180385,2087.30532306683,2128.98802616095,2202.5708512665,2225.76133638097
Angola,3267.06631711802,3299.50006211964,3075.12228655705,2316.54315578233,2321.58079991666,2639.50972020959,2955.35575991042,3122.89815255274,3201.14562804662,3212.12090220344,3275.12793983584,3374.481287491,3768.71565326279,3822.12682478305,4207.119641784,4816.70529136989,5338.73935107608,6024.33831823564,6578.6037974545,6442.57826367201,6587.98690099699,6710.75034592031,7425.03899797593,7692.93201071948,8179.09440368956,7338.8333802876,7105.3807999085,7310.9017380354,7092.99031877148
Albania,2548.87126636886,1908.66342773628,1822.87731489798,2056.96403406689,2289.33265354143,2665.13570212072,2979.36289952508,2716.72074193344,3021.0099360333,3471.66658744088,3862.27361971794,4301.39246128629,4661.38023002454,4994.6110843929,5422.78785165421,5865.32230948789,6558.67038552959,7275.79581473313,8228.35613801151,8821.5041714923,9635.19013018428,10207.7134227218,10526.2433048282,10571.0198438121,11259.2679756427,11662.0372957881,12077.6244794657,13093.6523134782,13835.5483063255
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,87226.5392672559,85847.3220091261,85624.9058064175,83847.7035339144,86706.2982361366,89724.4893279323,91943.1373667292,96179.9722792889,92627.8659806465,91710.3909492477,98363.7313112019,96722.5963769373,95549.9701791924,99238.3363418873,101871.509403108,97669.9935931741,95678.2816458938,87101.6830511117,79730.9491128763,68166.4444090045,64881.8564605665,67686.3929453288,68615.0739399854,69787.2694412034,73525.7070692698,64326.4617306672,63303.0900301809,65806.4434402125,67549.6246752321
Argentina,7195.69144377811,8005.46555751669,8719.10168164017,9532.88869606659,10175.1251212887,9969.60059844666,10586.1105736036,11507.8983269261,11949.4160206482,11581.8905137394,11618.7960696298,11226.8773367333,10052.4866553529,11025.1855198907,12214.7400764606,13568.7667630743,14951.7281901133,16570.0111669312,17404.0687079209,16334.7400060071,18061.9343590895,19322.2271236942,19695.1376497745,20135.675982079,19633.0387284411,20019.8876204122,20153.0080050987,23562.9188342608,23299.9827657757
Armenia,2776.48581217634,2558.34377672868,1550.50796297386,1481.87516486349,1633.84235883276,1819.95723671334,1992.40645292344,2117.55505624184,2315.74607778822,2442.15249000232,2660.79149315333,2997.47363159699,3465.37475081896,4046.73445467007,4617.02326536458,5456.33388913099,6412.7650677477,7556.03306453616,8305.31661953619,7233.04493710906,7506.30886467068,8025.45290497468,9735.1473133671,10951.9505379689,10036.8889134532,11999.0454726015,12856.7021450586,12115.0570089389,13024.6882886997
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,11595.0901528692,12085.9845008837,12290.4700359681,12982.9880674801,13845.1389199659,13230.599462468,14055.0857424532,14757.7063795513,15305.4506111615,15789.4679370025,16918.5960898161,16178.6020450874,16373.1600025695,17463.3553911916,18717.7202413515,20253.7738654454,23170.3162739881,25586.8071717401,25657.998557736,22369.9935619789,20611.9140706989,20347.1845441703,19602.7928803456,18799.0598583805,19038.2743493632,18912.2511567078,19918.009165289,19840.0761229321,21630.168684888
Australia,17332.3338671753,17784.3566873561,18176.8910772513,19118.8704992054,20051.3802104269,20878.6635099155,21957.4016367586,22924.9150145466,24172.6781021459,25264.3643562136,26318.4162072948,27356.5320619959,28718.241079556,29732.129600229,31299.8495244667,32575.0692539649,34290.5244809896,36546.4731913052,37459.307649507,40301.9577592293,39301.602648302,41965.3584189919,42826.789579996,45902.047948361,46880.2206571585,46276.1506853863,47349.9279542726,48905.4171954152,51036.4058896921
Austria,19436.7643707181,20579.1380418142,21253.5649662165,21692.133988239,22600.3978997374,23653.6584154147,24516.6481229744,25418.1492199101,26674.5228277729,27606.4830303088,29387.0282969091,29715.5120369684,31178.6933297272,32109.1381163943,33743.1982822753,35013.7140443423,37616.7401636252,39389.6850087047,41316.225176699,40957.5007518995,42037.4904752225,44452.7327457999,46457.3457770311,47922.0491207455,48799.7154676985,49879.2664728545,52633.2542884635,54637.0012845153,56871.2113998202
Azerbaijan,5360.07052939977,5417.78632980743,4224.43878645183,3275.42318398118,2650.26117584616,2359.21640184384,2409.19330610035,2567.98740529228,2829.59509676456,3055.92530700285,3442.63193216129,3836.59959071447,4233.44006335755,4716.37761192451,5245.42525084493,6850.81301851246,9387.10934916943,11957.3911666382,13200.9407060721,14248.9482224139,14926.6376403713,14804.5744507911,15235.1965171806,16227.077473545,17443.8767910832,15613.3269142985,15965.9731801055,14121.4069355591,14543.1949302166
Burundi,615.072101204146,652.532846221576,659.83992573553,621.036730807811,599.569208401782,555.367529306696,514.020275616309,509.35739107171,534.024026166757,529.283702382433,527.080874651834,537.359543556885,554.945261559317,541.764468256049,565.042350494707,569.27458512413,598.507676218969,615.230498413276,636.33218070787,644.104637267508,663.054795248755,681.971621284674,692.065742422971,741.853105211968,777.163459373638,841.422090281111,797.096926672191,773.571858394255,780.074546597704
