Date,MeanCO2
1980-11-01,338.8
1981-11-01,340.0
1982-11-01,340.77
1983-11-01,342.44
1984-11-01,343.99
1985-11-01,345.47
1986-11-01,346.87
1987-11-01,348.62
1988-11-01,351.15
1989-11-01,352.79
1990-11-01,353.98
1991-11-01,355.29
1992-11-01,355.99
1993-11-01,356.71
1994-11-01,358.21
1995-11-01,360.05
1996-11-01,361.79
1997-11-01,362.9
1998-11-01,365.54
1999-11-01,367.64
2000-11-01,368.84
2001-11-01,370.41
2002-11-01,372.42
2003-11-01,374.96
2004-11-01,376.8
2005-11-01,378.81
2006-11-01,380.94
2007-11-01,382.68
2008-11-01,384.78
2009-11-01,386.29
2010-11-01,388.57
2011-11-01,390.45
2012-11-01,392.46
2013-11-01,395.19
2014-11-01,397.12
2015-11-01,399.41
2016-11-01,402.86
2017-11-01,405.0
